Month,Argentina,Brazil,Colombia,France,Germany,India,Indonesia,Iran,Italy,Mexico,Peru,Philippines,Poland,Russia,South Africa,Spain,Turkey,Ukraine,United Kingdom,United States of America
2007-09,24,0,22,24,70,45,0,25,58,11,0,11,27,0,0,21,3,0,38,73
2007-10,11,15,0,11,48,47,6,12,17,0,12,17,0,0,0,19,3,0,39,73
2007-11,0,0,42,0,29,41,5,23,33,33,0,11,0,0,31,9,5,0,40,67
2007-12,0,0,0,0,49,45,0,11,0,0,0,6,12,0,15,0,5,0,38,46
2008-01,0,8,0,0,35,34,0,22,24,0,0,10,11,0,10,18,3,0,56,63
2008-02,0,16,0,15,23,40,0,10,8,21,0,10,0,0,19,27,3,57,38,58
2008-03,0,14,0,14,79,50,4,12,15,0,0,0,0,0,10,27,3,0,45,56
2008-04,0,7,18,9,51,26,4,10,15,9,0,40,11,0,9,34,0,0,38,58
2008-05,11,7,18,5,83,59,0,0,21,18,0,11,0,0,0,16,0,52,45,56
2008-06,12,0,0,5,60,31,8,11,0,9,0,19,12,0,9,9,5,0,39,62
2008-07,0,14,18,31,29,41,4,19,15,10,0,17,12,0,9,18,8,0,23,47
2008-08,0,13,36,17,66,48,3,10,10,18,0,9,0,0,17,21,0,0,27,57
2008-09,0,0,17,5,28,29,0,9,7,0,0,9,11,0,9,40,5,0,38,60
2008-10,0,6,0,4,45,36,9,9,19,0,0,12,0,5,23,14,12,0,39,57
2008-11,12,13,0,4,46,37,3,49,7,0,0,9,19,0,27,15,3,0,38,62
2008-12,0,0,0,0,62,30,6,8,13,18,0,0,10,5,12,31,5,0,33,51
2009-01,0,0,0,24,30,42,6,8,12,8,0,8,0,5,0,14,2,40,41,56
2009-02,0,7,0,8,52,40,6,15,24,0,0,4,19,5,0,22,3,0,42,62
2009-03,0,0,0,15,29,30,5,19,16,7,0,4,8,0,8,33,2,0,30,69
2009-04,0,0,0,4,27,40,5,8,0,0,0,9,10,0,0,42,7,0,43,60
2009-05,0,5,15,8,37,52,7,30,6,0,10,12,17,0,8,25,7,0,31,55
2009-06,0,0,0,15,54,39,3,7,12,7,0,7,9,5,16,25,0,0,37,61
2009-07,9,16,0,12,29,39,8,8,0,7,0,7,10,0,14,20,0,0,26,58
2009-08,0,20,0,4,30,41,5,23,15,21,0,15,19,5,0,22,5,0,34,60
2009-09,9,10,0,11,57,41,5,7,22,0,0,16,9,0,22,12,5,38,44,79
2009-10,0,10,29,7,55,28,4,15,0,12,9,7,16,0,7,22,5,0,47,70
2009-11,0,16,15,21,22,27,5,0,0,20,0,7,16,4,35,17,9,0,54,64
2009-12,0,11,0,3,68,30,9,14,17,0,0,12,16,0,19,12,2,32,42,56
2010-01,0,0,0,13,41,41,7,0,10,0,10,13,7,8,15,32,2,0,46,83
2010-02,0,0,0,4,55,31,7,14,11,7,11,3,16,0,14,33,2,0,41,67
2010-03,9,5,0,16,35,33,6,17,0,6,18,6,15,0,0,15,4,0,40,76
2010-04,0,10,0,7,43,26,6,0,10,6,0,0,0,4,16,16,6,35,39,66
2010-05,0,0,0,14,37,35,0,12,0,6,0,15,23,0,23,15,0,0,35,69
2010-06,10,11,0,3,44,27,2,0,11,0,9,3,17,0,25,16,2,0,41,58
2010-07,0,0,0,0,42,33,2,6,11,13,0,17,9,4,20,16,2,0,38,46
2010-08,0,5,15,14,46,23,2,6,0,0,0,3,0,0,13,41,0,0,34,46
2010-09,0,5,30,6,45,24,4,12,33,6,0,3,38,0,21,39,2,0,33,60
2010-10,9,5,0,9,39,28,7,18,19,29,8,9,14,3,7,19,8,0,44,56
2010-11,0,14,0,6,33,31,6,0,18,6,0,17,46,0,28,5,4,0,40,52
2010-12,9,5,0,6,48,33,2,6,15,6,18,6,7,0,18,14,2,0,30,46
2011-01,4,5,6,9,32,25,1,6,6,4,0,8,15,1,11,30,2,0,43,64
2011-02,0,12,5,7,19,31,3,9,15,7,0,6,5,1,11,41,3,0,36,63
2011-03,3,8,5,11,40,24,2,4,16,3,0,7,19,0,10,12,2,16,41,59
2011-04,0,9,5,2,24,27,1,6,6,7,5,4,27,2,23,13,4,9,36,54
2011-05,6,8,5,5,15,26,3,6,11,6,0,3,0,1,10,16,2,0,44,56
2011-06,6,4,5,14,35,31,4,16,0,6,0,5,0,1,10,17,0,9,39,50
2011-07,3,8,5,5,38,26,2,6,3,17,5,10,27,4,0,23,2,0,34,41
2011-08,0,9,9,8,26,24,2,13,7,9,4,3,27,0,12,15,2,0,38,53
2011-09,3,5,0,14,26,26,2,3,13,3,4,4,20,0,9,21,2,8,45,65
2011-10,5,8,4,13,36,25,3,5,5,5,4,8,14,1,9,27,3,15,49,64
2011-11,3,9,5,13,31,23,1,12,10,3,4,5,19,0,14,19,3,7,36,56
2011-12,0,4,0,17,24,25,1,8,19,15,0,3,9,1,17,24,2,6,33,49
2012-01,3,3,5,8,33,20,2,4,7,13,4,3,12,3,13,18,2,6,44,60
2012-02,3,5,9,4,30,23,3,2,14,16,0,5,17,1,3,26,2,0,45,55
2012-03,2,3,12,8,52,22,2,10,12,2,0,7,25,3,10,22,2,0,47,55
2012-04,0,5,9,6,33,22,3,4,10,5,0,6,14,2,19,30,4,6,29,54
2012-05,5,6,0,8,39,24,2,10,20,17,0,7,0,0,14,35,1,0,46,50
2012-06,2,6,13,2,42,24,2,12,10,5,4,6,5,0,20,46,1,14,31,50
2012-07,0,7,13,11,38,26,3,11,13,5,4,6,0,1,14,8,3,0,36,38
2012-08,7,6,16,2,20,30,2,15,11,2,4,6,5,2,22,17,2,6,44,51
2012-09,5,6,12,15,33,24,1,4,16,2,4,5,32,1,9,37,1,6,46,57
2012-10,0,9,7,9,41,21,3,12,17,4,3,8,28,2,10,53,2,10,43,61
2012-11,0,8,4,13,41,24,4,5,19,9,7,2,12,0,9,60,5,15,46,58
2012-12,5,4,9,6,29,24,2,7,11,12,4,7,4,2,11,53,5,5,36,42
2013-01,2,4,20,7,28,23,1,4,10,6,0,6,14,0,11,38,0,9,39,61
2013-02,2,12,11,8,49,23,1,9,13,17,4,6,19,0,21,61,3,5,45,62
2013-03,2,4,20,5,26,26,3,7,17,6,0,7,11,1,11,35,2,8,37,59
2013-04,6,5,13,12,36,24,2,6,8,2,6,4,7,0,32,41,3,0,40,54
2013-05,4,4,3,10,30,24,2,4,15,6,6,6,8,1,17,33,5,9,46,49
2013-06,0,4,3,7,31,27,1,5,16,10,3,4,4,0,17,46,1,19,41,43
2013-07,0,5,10,11,11,28,2,5,8,6,0,5,8,1,2,27,4,5,33,41
2013-08,7,13,6,0,25,21,2,4,9,7,0,7,12,1,16,7,1,5,30,47
2013-09,4,8,3,9,36,23,3,5,19,5,3,6,15,0,13,38,2,8,46,66
2013-10,2,7,0,3,58,19,2,9,20,10,3,4,17,2,10,82,4,8,48,59
2013-11,4,1,3,7,29,20,1,8,7,9,0,4,10,0,5,52,6,4,52,59
2013-12,0,7,11,12,22,20,1,5,14,6,3,4,14,1,5,25,2,4,35,49
2014-01,2,6,3,8,29,19,2,7,17,9,0,5,9,1,12,32,3,7,40,59
2014-02,4,7,0,9,47,23,1,2,28,6,4,3,3,0,15,37,3,0,41,56
2014-03,0,5,8,6,54,18,2,4,10,3,6,4,10,1,12,25,2,7,41,54
2014-04,5,13,9,3,36,20,2,3,20,9,0,6,17,1,16,12,2,7,40,51
2014-05,2,2,11,8,35,17,1,5,16,8,0,5,24,0,16,38,4,8,36,49
2014-06,4,9,16,6,21,20,2,3,14,0,6,3,4,0,10,20,3,8,38,41
2014-07,2,7,3,4,53,20,1,4,8,6,6,5,12,0,24,28,1,8,37,39
2014-08,2,7,9,8,38,21,1,3,11,13,9,6,8,0,15,15,3,0,26,48
2014-09,2,12,11,2,57,26,2,3,10,10,3,6,15,1,19,39,4,4,40,60
2014-10,2,10,6,7,30,21,2,5,18,7,0,7,7,1,11,48,2,0,45,61
2014-11,2,3,0,9,46,25,1,2,11,5,3,5,24,0,5,33,5,3,43,52
2014-12,0,5,0,8,44,24,1,4,15,2,0,3,30,1,12,25,2,3,33,45
2015-01,0,15,0,5,27,27,1,2,12,10,3,8,6,1,10,23,3,0,37,60
2015-02,2,12,3,4,28,20,3,6,22,2,3,5,23,1,6,48,5,3,42,55
2015-03,2,3,0,6,38,24,2,8,17,3,0,4,6,1,11,34,2,3,41,54
2015-04,3,4,6,12,24,25,2,7,20,9,3,4,3,1,10,14,3,0,36,48
2015-05,5,6,3,3,21,23,1,5,10,5,3,4,9,1,14,28,3,7,25,51
2015-06,2,8,9,7,42,24,2,1,29,3,3,3,16,1,7,32,2,0,37,40
2015-07,2,5,5,2,36,22,1,4,14,5,6,6,10,1,6,21,4,4,38,30
2015-08,5,6,10,19,57,18,1,4,6,5,3,5,17,1,8,15,2,8,31,37
2015-09,3,8,2,11,32,20,2,3,10,6,0,4,25,1,14,30,2,0,41,55
2015-10,3,6,7,4,50,17,2,3,19,1,0,5,12,1,12,33,4,3,34,49
2015-11,0,5,2,12,25,20,2,3,18,9,5,3,23,1,8,34,6,9,40,48
2015-12,8,5,0,6,24,21,1,2,10,8,0,2,12,0,14,33,1,6,29,38
2016-01,0,7,3,8,48,17,2,4,12,6,0,7,17,0,11,9,2,3,40,38
2016-02,0,6,13,11,34,18,1,2,18,6,3,5,15,1,9,36,2,3,34,41
2016-03,2,16,7,15,37,15,1,4,19,10,0,6,15,0,15,23,2,3,32,36
2016-04,0,12,7,9,37,15,1,4,22,4,2,5,12,1,10,32,4,6,35,35
2016-05,2,20,5,9,31,17,1,3,30,3,0,5,9,2,10,20,4,3,27,37
2016-06,0,25,0,5,48,19,1,4,18,8,2,7,6,2,3,27,1,0,26,35
2016-07,3,16,8,4,30,17,1,1,18,3,3,4,7,1,8,16,2,3,31,27
2016-08,7,18,3,8,24,16,1,1,13,8,0,9,11,1,10,25,1,10,24,30
2016-09,5,17,8,7,23,15,1,3,35,11,3,5,17,0,11,34,1,7,36,35
2016-10,3,18,3,17,52,12,1,1,33,2,7,4,25,1,12,48,6,12,40,36
2016-11,2,10,3,8,57,13,2,1,30,8,2,4,22,2,4,39,4,9,32,33
2016-12,3,14,6,11,27,14,1,1,48,5,0,4,28,1,9,24,2,3,30,28
2017-01,0,19,8,3,31,15,1,2,23,11,5,6,11,0,13,16,2,3,36,35
2017-02,0,20,0,12,42,16,1,1,18,8,0,7,15,1,7,32,3,0,35,38
2017-03,0,15,0,6,49,15,1,2,23,4,3,9,14,1,12,18,2,0,39,39
2017-04,7,14,3,9,33,15,1,1,12,7,3,6,15,1,12,17,5,6,32,36
2017-05,5,8,0,6,42,15,1,2,17,11,7,4,15,1,20,16,2,0,32,32
2017-06,2,14,0,10,53,15,1,0,14,10,5,5,9,1,16,32,2,0,22,30
2017-07,2,12,0,13,49,15,1,1,9,2,8,5,9,1,9,6,1,3,21,28
2017-08,0,6,10,6,44,15,1,1,11,11,5,4,15,1,17,12,2,9,24,31
2017-09,2,8,5,11,54,15,1,3,20,5,5,6,12,1,14,22,5,6,37,37
2017-10,0,9,0,1,37,11,1,3,14,4,5,8,8,0,16,26,3,5,34,33
2017-11,2,8,10,9,58,16,1,2,22,15,2,5,8,1,23,18,5,0,36,32
2017-12,0,7,3,11,50,13,1,3,26,5,5,5,14,1,8,11,4,12,26,27
2018-01,3,8,6,10,46,12,1,2,14,7,0,4,18,1,14,25,2,2,37,33
2018-02,3,7,7,3,46,12,1,2,21,3,3,4,3,1,11,38,2,5,34,33
2018-03,4,7,2,8,29,12,1,3,23,13,0,5,21,1,12,20,3,4,36,28
2018-04,0,5,5,5,29,12,2,1,16,5,2,2,11,1,16,36,3,8,33,28
2018-05,1,10,7,9,39,13,1,1,30,7,2,5,11,1,15,12,3,3,34,30
2018-06,7,5,3,12,34,11,1,2,11,6,9,3,11,0,10,40,2,3,30,28
2018-07,0,9,17,4,50,12,1,1,14,11,0,4,14,1,11,15,2,13,24,25
2018-08,4,10,7,12,32,12,1,2,5,16,2,7,3,2,12,16,1,8,26,34
2018-09,1,6,5,9,26,10,1,1,17,13,7,4,8,1,15,15,3,5,33,31
2018-10,1,3,5,13,23,9,2,2,18,17,2,7,13,1,15,27,5,12,32,29
2018-11,4,5,5,9,27,10,2,1,32,18,2,4,16,1,11,32,3,5,34,30
2018-12,2,11,6,6,42,10,1,3,18,23,3,4,14,2,7,8,3,0,26,22
2019-01,6,2,8,13,42,11,1,2,21,7,5,4,13,1,19,21,1,2,31,30
2019-02,2,7,18,9,34,10,1,0,10,20,0,7,17,1,12,18,2,5,29,24
2019-03,3,7,2,11,36,10,2,1,8,30,0,6,8,2,14,27,2,14,32,28
2019-04,1,9,5,9,33,9,1,1,16,25,0,3,19,3,21,22,3,13,30,27
2019-05,1,9,7,11,49,12,1,2,12,17,5,4,8,2,15,21,2,5,26,26
2019-06,6,9,5,7,56,12,1,0,16,23,2,4,11,2,20,25,0,8,32,28
2019-07,1,11,7,13,34,12,1,1,27,24,0,5,8,1,10,12,5,5,30,26
2019-08,0,3,16,12,31,12,1,2,13,26,0,4,8,2,14,20,3,12,22,30
2019-09,0,5,2,8,48,16,2,1,19,12,4,5,3,2,18,34,2,7,35,30
2019-10,0,9,4,13,34,10,2,1,21,24,9,5,12,1,33,71,2,2,40,31
2019-11,3,4,7,13,28,12,2,0,21,28,4,5,25,1,14,28,3,0,33,26
2019-12,3,5,10,7,33,13,3,1,19,24,0,4,10,1,6,20,3,4,28,22
2020-01,4,6,2,11,42,10,1,1,28,24,5,7,7,0,11,21,4,4,38,31
2020-02,4,8,2,17,37,12,2,1,22,27,10,6,14,1,18,35,2,8,38,29
2020-03,8,14,21,15,65,15,6,2,55,20,6,14,51,1,38,100,5,8,82,98
2020-04,4,12,8,17,78,32,6,2,46,19,14,26,38,2,74,85,8,13,93,96
2020-05,5,16,17,16,58,30,5,2,42,20,8,43,31,2,79,63,8,11,74,68
2020-06,4,10,18,10,51,26,6,2,34,14,8,39,33,1,50,47,8,6,70,55
2020-07,3,8,12,14,54,26,7,1,22,46,7,36,12,1,45,24,3,6,49,74
2020-08,9,11,13,9,54,22,5,1,19,35,7,60,12,2,56,22,3,7,44,100
2020-09,3,7,3,9,59,23,6,1,30,23,9,81,15,1,41,50,7,0,56,83
2020-10,1,7,8,9,30,17,12,2,33,23,0,78,35,0,41,39,7,6,54,46
2020-11,7,9,0,12,64,16,12,2,22,27,2,63,36,1,26,33,6,17,54,35
2020-12,0,7,7,10,40,18,9,2,19,17,0,63,16,2,19,27,5,4,41,34
2021-01,3,10,13,10,57,17,9,1,25,20,7,71,18,2,23,24,10,4,100,34
2021-02,4,13,4,6,65,16,6,1,23,20,0,100,10,2,23,21,5,9,62,35
2021-03,2,11,7,5,48,18,8,0,15,21,4,75,31,1,23,22,4,4,45,32
2021-04,8,9,11,10,53,16,8,1,16,20,7,91,26,2,19,32,6,11,45,32
2021-05,3,4,7,9,53,19,8,1,28,28,16,85,12,1,48,34,5,9,38,28
2021-06,4,9,15,8,31,24,8,0,23,22,12,76,13,2,32,41,5,7,31,28
2021-07,5,6,15,8,44,21,7,1,18,28,6,35,8,0,26,22,5,7,29,26
2021-08,9,7,11,10,32,18,4,2,9,25,2,32,10,2,30,13,4,7,27,36
2021-09,5,6,15,6,47,17,8,0,19,19,4,63,3,2,29,11,3,7,38,32
2021-10,20,4,11,7,20,15,11,1,40,26,0,74,0,0,33,13,14,0,53,32
